0install	github.com/0install/0install
blake2	gitlab.com/nomadic-labs/ocaml-blake2
blake3	github.com/proof-ninja/ocaml-blake3
bloomf	github.com/mirage/bloomf
bls12-381	gitlab.com/dannywillems/ocaml-bls12-381
bn128	github.com/runtimeverification/bn128-ml
bnfgen	github.com/dmbaturin/bnfgen
bogue	github.com/sanette/bogue
bonsai	github.com/janestreet/bonsai
bookaml	github.com/darioteixeira/bookaml
boomerang	github.com/SolomonAduolMaina/boomerang
bpf	github.com/ygrek/ocaml-bpf
bracetax	github.com/smondet/bracetax
broken	github.com/michipili/broken
brotli	github.com/fxfactorial/reasonml-brotli
brozip	github.com/fxfactorial/brozip
brr	erratique.ch/repos/brr
bsbnative	github.com/bucklescript/bucklescript
bsdowl	github.com/michipili/bsdowl
bson2	github.com/nosman/Bson2
bst	github.com/UnixJunkie/bisec-tree
buffer-pool	github.com/cjen1/buffer-pool
build_path_prefix_map	gitlab.com/gasche/build_path_prefix_map
bulletml	github.com/emillon/bulletml
bun	github.com/yomimono/ocaml-bun
bwrap	github.com/Chris00/ocaml-bwrap
bytearray	github.com/UnixJunkie/bytearray
bytepdf	github.com/Drup/bytepdf
c3	github.com/djs55/ocaml-c3
ca-certs	github.com/mirage/ca-certs
ca-certs-nss	github.com/mirage/ca-certs-nss
cairo2	github.com/Chris00/ocaml-cairo
calculon	github.com/c-cube/calculon
calendar	github.com/ocaml-community/calendar
calendars	github.com/geneweb/calendars
callipyge	github.com/oklm-wsh/callipyge
camelot	github.com/upenn-cis1xx/camelot
camels	github.com/yomimono/camels
camelsnakekebab	github.com/swuecho/camelsnakekebab
caml2html	github.com/mjambon/caml2html
camlbz2	gitlab.com/irill/camlbz2
camlhighlight	github.com/darioteixeira/camlhighlight
camlidl	github.com/xavierleroy/camlidl
camlimages	gitlab.com/camlspotter/camlimages
caml-mode	github.com/ocaml/ocaml
camlon	gitlab.com/camlspotter/camlon
camlp4	github.com/camlp4/camlp4
camlp5	github.com/camlp5/camlp5
camltc	github.com/toolslive/camltc
camomile	github.com/yoriyuki/Camomile
camyll	github.com/alan-j-hu/camyll
capnp	github.com/capnproto/capnp-ocaml
capnp-rpc	github.com/mirage/capnp-rpc
captureio	github.com/sylvarant/captureio
caqti	github.com/paurkedal/ocaml-caqti
caradoc	github.com/ANSSI-FR/caradoc
carton	github.com/mirage/ocaml-git
catala	github.com/CatalaLang/catala
cbat-explicit-edge	github.com/draperlaboratory/cbat_tools
cca	github.com/codinuum/cca
cconv	github.com/c-cube/cconv
ccss	github.com/darioteixeira/ccss
cdrom	github.com/xapi-project/cdrom
certify	github.com/yomimono/ocaml-certify
cf	github.com/mirage/ocaml-cf
cfg	github.com/mmottl/cfg
cfgen	github.com/dmbaturin/bnfgen
cfstream	github.com/biocaml/cfstream
cgi	github.com/rixed/ocaml-cgi
cgroups	github.com/Gbury/ocaml-cgroups
chacha	github.com/abeaumont/ocaml-chacha
channel	github.com/mirage/mirage-channel
charrua	github.com/mirage/charrua
charrua-core	github.com/mirage/charrua-core
chartjs	github.com/monstasat/chartjs-ocaml
chase	github.com/ramsdell/chase
checkseum	github.com/mirage/checkseum
choice	github.com/c-cube/choice
cinaps	github.com/ocaml-ppx/cinaps
clangml	gitlab.inria.fr/memcad/clangml
clangml-transforms	gitlab.inria.fr/memcad/clangml-transforms
clap	github.com/rbardou/clap
clarity	github.com/IndiscriminateCoding/clarity
clarity-lang	github.com/weavery/clarity.ml
clim	github.com/Ninjapouet/clim
cloudi	github.com/CloudI/cloudi_api_ocaml
cmarker	github.com/pablo-meier/ocaml-cmark
cmdtui	gitlab.com/edwintorok/cmdtui
coclobas	github.com/hammerlab/coclobas
codept	github.com/Octachron/codept
cohttp	github.com/mirage/ocaml-cohttp
coin	github.com/mirage/coin
colombe	github.com/mirage/colombe
color	github.com/anuragsoni/color
color-brewery	github.com/Chris00/color_brewery
combinat	github.com/jfeser/combinat
combine	github.com/backtracking/combine
comby	github.com/comby-tools/comby
command_rpc	github.com/janestreet/command_rpc
commonjs_of_ocaml	github.com/angrylawyer/commonjs_of_ocaml
comparelib	github.com/janestreet/comparelib
conduit	github.com/mirage/ocaml-conduit
conex	github.com/hannesm/conex
conf-capnproto	github.com/capnproto/capnproto
conf-gobject-introspection	gitlab.gnome.org/GNOME/gobject-introspection
configuration	github.com/michipili/configuration
configurator	github.com/janestreet/configurator
conf-libpcre	github.com/mmottl/pcre-ocaml
